                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200731"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  3.9062500000000002E-004                  6.5857983029049690E-004                 -3.4082399653118491E+000                  2.7529533013617171E+000                  5.6617840596642452E+002                  1.6187317616676646E-006                 -5.7908251117649208E+000                 -8.7806032215326724E-001                  1.3241576010471851E-001                  1.5623266952887045E+001                  2.9877946092812028E+004                  1.7277812844122293E+000                  8.7801735408571533E+012 
                                       5                  1.3481249999999999E-003                  6.5857983029049690E-004                 -3.8696662315049934E+000                  2.7326925711068175E+000                  5.4037166858668638E+002                  1.3430637329802141E-006                 -5.8719033780796961E+000                 -8.7807799480085624E-001                  1.3241037184963267E-001                  1.3565842094702887E+001                  2.9878698641989253E+004                  1.7278446002760990E+000                  8.7808065543883340E+012 
                                      10                  2.2078050000000002E-003                  6.5857983029049690E-004                 -3.6321224933621190E+000                  2.7225261201419286E+000                  5.2786895389775339E+002                  1.2230202778875073E-006                 -5.9125663422264765E+000                 -8.7807657494446900E-001                  1.3241080474488548E-001                  1.2559279209187141E+001                  2.9878600616416497E+004                  1.7278373740153479E+000                  8.7807335223514814E+012 
                                      15                  4.2909767375999995E-003                  6.5857983029049690E-004                 -3.2362162631239952E+000                  2.7073003369764530E+000                  5.0968322137712886E+002                  1.0629766799444674E-006                 -5.9734762631178393E+000                 -8.7807996905919938E-001                  1.3240976992697867E-001                  1.1146098403078840E+001                  2.9878531857235463E+004                  1.7278325948899917E+000                  8.7806849684111543E+012 
                                      20                  9.4745746357048303E-003                  6.5857983029049690E-004                 -2.8403100328858710E+000                  2.7060002045440226E+000                  5.0815968189356039E+002                  1.0502683976176473E-006                 -5.9786997021595552E+000                 -8.7809142371519600E-001                  1.3240627762296228E-001                  9.2113805019761266E+000                  2.9877921367735467E+004                  1.7278376383086156E+000                  8.7806920499738682E+012 
                                      25                  2.2373024957517040E-002                  6.5857983029049690E-004                 -2.4444038026477468E+000                  2.6805202240911150E+000                  4.7920376780149479E+002                  8.3048684882152166E-007                 -6.0806672404304862E+000                 -8.7811523194484653E-001                  1.3239901924692749E-001                  7.6800360454345551E+000                  2.9876473266113549E+004                  1.7278523223159183E+000                  8.7807339506047539E+012 
                                      30                  3.2772558839854998E-002                  6.5857983029049690E-004                 -2.8087351133189249E+000                  2.6108990211307188E+000                  4.0822445803267163E+002                  4.3734313475568384E-007                 -6.3591776864728358E+000                 -8.7812804904522934E-001                  1.3239511188325992E-001                  7.3610850500627603E+000                  2.9875965945340591E+004                  1.7278574764031009E+000                  8.7807487169505293E+012 
                                      35                  3.9192455865350216E-002                  6.5857983029049690E-004                 -2.9432766908891232E+000                  2.5530129367546337E+000                  3.5728348074601450E+002                  2.5660580340476839E-007                 -6.5907335258326158E+000                 -8.7813379997294916E-001                  1.3239335871873803E-001                  7.2577842850037158E+000                  2.9875786800923990E+004                  1.7278593048775066E+000                  8.7807540090196738E+012 
                                      40                  4.3930998436153210E-002                  6.5857983029049690E-004                 -3.0843206621412125E+000                  2.4935861794727834E+000                  3.1159191438199122E+002                  1.4844056162395017E-007                 -6.8284474111696500E+000                 -8.7813722807776484E-001                  1.3239231367548226E-001                  7.2040656384835380E+000                  2.9875690808391173E+004                  1.7278602814505213E+000                  8.7807568151510879E+012 
                                      45                  4.7200119554113538E-002                  6.5857983029049690E-004                 -3.2610863253124203E+000                  2.4316512247981672E+000                  2.7017877285588230E+002                  8.3909031280462211E-008                 -7.0761912927567217E+000                 -8.7813925952206917E-001                  1.3239169440216947E-001                  7.1744754320998227E+000                  2.9875638438618942E+004                  1.7278608158838378E+000                  8.7807583613014209E+012 
                                      50                  4.9283634370844619E-002                  6.5857983029049690E-004                 -3.4702818399894184E+000                  2.3674997676955494E+000                  2.3307718685506487E+002                  4.6472981784740847E-008                 -7.3327994615621366E+000                 -8.7814042971954032E-001                  1.3239133767597622E-001                  7.1580873728689447E+000                  2.9875609097682773E+004                  1.7278611145985621E+000                  8.7807592210001533E+012 
                                      55                  5.0528688195665319E-002                  6.5857983029049690E-004                 -3.7040045629092635E+000                  2.3016747433480411E+000                  2.0029713778999960E+002                  2.5345398716406164E-008                 -7.5961008723643113E+000                 -8.7814108642561151E-001                  1.3239113748432491E-001                  7.1490803419211897E+000                  2.9875592960946546E+004                  1.7278612787771734E+000                  8.7807596928258750E+012 
                                      60                  5.0705303446747979E-002                  6.5857983029049690E-004                 -1.3055289459196832E+001                  2.2883582996778995E+000                  1.9424877992342309E+002                  2.2419874208265997E-008                 -7.6493668284408312E+000                 -8.7814117712358752E-001                  1.3239110983578811E-001                  7.1478466298272849E+000                  2.9875584312887077E+004                  1.7278613463759775E+000                  8.7807597575167529E+012 
                                      65                  5.0705303447534232E-002                  6.5857983029049690E-004                 -1.2659383228958708E+001                  2.2883582996152843E+000                  1.9424877989541702E+002                  2.2419874195333932E-008                 -7.6493668286913374E+000                 -8.7814117712361073E-001                  1.3239110983578103E-001                  7.1478466298209931E+000                  2.9875573643006119E+004                  1.7278614211353478E+000                  8.7807597575593037E+012 
                                      70                  5.0705303449490653E-002                  6.5857983029049690E-004                 -1.2263476998720583E+001                  2.2883582994579132E+000                  1.9424877982502889E+002                  2.2419874162840146E-008                 -7.6493668293207735E+000                 -8.7814117712358597E-001                  1.3239110983578858E-001                  7.1478466298082637E+000                  2.9875562973262495E+004                  1.7278614958937066E+000                  8.7807597576007002E+012 
                                      75                  5.0705303454358877E-002                  6.5857983029049690E-004                 -1.1867570768482459E+001                  2.2883582990679452E+000                  1.9424877965060625E+002                  2.2419874082309455E-008                 -7.6493668308807301E+000                 -8.7814117712362927E-001                  1.3239110983577540E-001                  7.1478466297728680E+000                  2.9875552303659497E+004                  1.7278615706513061E+000                  8.7807597576436562E+012 
                                      80                  5.0705303466472590E-002                  6.5857983029049690E-004                 -1.1471664538244335E+001                  2.2883582980955794E+000                  1.9424877921569202E+002                  2.2419873881523666E-008                 -7.6493668347701442E+000                 -8.7814117712360462E-001                  1.3239110983578292E-001                  7.1478466296894618E+000                  2.9875541634192610E+004                  1.7278616454077818E+000                  8.7807597576843047E+012 
                                      85                  5.0705303496615353E-002                  6.5857983029049690E-004                 -1.1075758308006211E+001                  2.2883582956773521E+000                  1.9424877813408096E+002                  2.2419873382170497E-008                 -7.6493668444430947E+000                 -8.7814117712362461E-001                  1.3239110983577682E-001                  7.1478466294788880E+000                  2.9875530964867146E+004                  1.7278617201635704E+000                  8.7807597577270732E+012 
                                      90                  5.0705303571620182E-002                  6.5857983029049690E-004                 -1.0679852077768087E+001                  2.2883582896579986E+000                  1.9424877544177855E+002                  2.2419872139201226E-008                 -7.6493668685206035E+000                 -8.7814117712367246E-001                  1.3239110983576224E-001                  7.1478466289552269E+000                  2.9875520295680868E+004                  1.7278617949184050E+000                  8.7807597577694678E+012 
                                      95                  5.0705303758256215E-002                  6.5857983029049690E-004                 -1.0283945847529962E+001                  2.2883582746816225E+000                  1.9424876874323010E+002                  2.2419869046649992E-008                 -7.6493669284262991E+000                 -8.7814117712376816E-001                  1.3239110983573305E-001                  7.1478466276526795E+000                  2.9875509626631927E+004                  1.7278618696722703E+000                  8.7807597578110518E+012 
                                     100                  5.0705304222666378E-002                  6.5857983029049690E-004                 -9.8880396172918381E+000                  2.2883582374133487E+000                  1.9424875207408905E+002                  2.2419861350925052E-008                 -7.6493670774999369E+000                 -8.7814117712403972E-001                  1.3239110983565028E-001                  7.1478466244105974E+000                  2.9875498957724405E+004                  1.7278619444254402E+000                  8.7807597578547568E+012 
                                     105                  5.0705305378267486E-002                  6.5857983029049690E-004                 -9.4921333870537143E+000                  2.2883581446771224E+000                  1.9424871059556449E+002                  2.2419842201350668E-008                 -7.6493674484459442E+000                 -8.7814117712459050E-001                  1.3239110983548238E-001                  7.1478466163470564E+000                  2.9875488288953205E+004                  1.7278620191775198E+000                  8.7807597578965586E+012 
                                     110                  5.0705308253772848E-002                  6.5857983029049690E-004                 -9.0962271568155906E+000                  2.2883579139163426E+000                  1.9424860738225217E+002                  2.2419794550440296E-008                 -7.6493683714921117E+000                 -8.7814117712611495E-001                  1.3239110983501767E-001                  7.1478465962773754E+000                  2.9875477620322577E+004                  1.7278620939288378E+000                  8.7807597579397334E+012 
                                     115                  5.0705315408950347E-002                  6.5857983029049690E-004                 -8.7003209265774668E+000                  2.2883573397059265E+000                  1.9424835055306229E+002                  2.2419675979405321E-008                 -7.6493706683410974E+000                 -8.7814117712977469E-001                  1.3239110983390201E-001                  7.1478465463414338E+000                  2.9875466951833529E+004                  1.7278621686794722E+000                  8.7807597579851230E+012 
                                     120                  5.0705333213321609E-002                  6.5857983029049690E-004                 -8.3044146963393430E+000                  2.2883559108687357E+000                  1.9424771147330756E+002                  2.2419380935744669E-008                 -7.6493763837081259E+000                 -8.7814117713890727E-001                  1.3239110983111801E-001                  7.1478464220839486E+000                  2.9875456283486481E+004                  1.7278622434294075E+000                  8.7807597580326025E+012 
                                     125                  5.0705377516294704E-002                  6.5857983029049690E-004                 -7.9085084661012184E+000                  2.2883523553814182E+000                  1.9424612121030347E+002                  2.2418646772378147E-008                 -7.6493906057029468E+000                 -8.7814117716168394E-001                  1.3239110982417474E-001                  7.1478461128895292E+000                  2.9875445615291253E+004                  1.7278623181795720E+000                  8.7807597580914062E+012 
