                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200730"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  1.0000000000000000E+003                  6.5857983029049690E-004                  3.0000000000000000E+000                  2.5046548175814265E+000                  3.1963535999638384E+002                  1.7810279600030606E-007                 -6.7493292625807042E+000                 -8.6071543000057804E-001                  1.3781121764848223E-001                  7.8256582165672697E+000                  3.2156012922787522E+004                  1.6462479211417524E+000                  8.2001816047667754E+012 
                                       5                  7.4415999999999985E+003                  6.5857983029049690E-004                  3.3167249841904991E+000                  2.5046613567137221E+000                  3.1964017275299983E+002                  1.7811473554127432E-007                 -6.7493001496016856E+000                 -8.6071395177566012E-001                  1.3781168672264982E-001                  7.8257180727939728E+000                  3.2156204128692611E+004                  1.6462405158369260E+000                  8.2001337868879131E+012 
                                      10                  2.5958682111999991E+004                  6.5857983029049690E-004                  3.7126312144286229E+000                  2.5046801429229664E+000                  3.1965399967757583E+002                  1.7814904125593953E-007                 -6.7492165105477415E+000                 -8.6070970466717689E-001                  1.3781303443502033E-001                  7.8258900437942618E+000                  3.2156753476362421E+004                  1.6462192389483410E+000                  8.1999964019222139E+012 
                                      15                  7.2035107872931811E+004                  6.5857983029049690E-004                  4.1085374446667471E+000                  2.5047268161241178E+000                  3.1968835442477189E+002                  1.7823430220378852E-007                 -6.7490087098154197E+000                 -8.6069915070331926E-001                  1.3781638352536837E-001                  7.8263174122487600E+000                  3.2158118534037705E+004                  1.6461663625985559E+000                  8.1996550121542148E+012 
                                      20                  1.8668799962237364E+005                  6.5857983029049690E-004                  4.5044436749048709E+000                  2.5048425040128039E+000                  3.1977352473816597E+002                  1.7844582422483048E-007                 -6.7484936104280315E+000                 -8.6067297678699650E-001                  1.3782468964792208E-001                  7.8273774408942014E+000                  3.2161503530137805E+004                  1.6460352055095986E+000                  8.1988084154966123E+012 
                                      25                  4.7198108322034468E+005                  6.5857983029049690E-004                  4.9003499051429946E+000                  2.5051276084083165E+000                  3.1998351766450872E+002                  1.7896824754434259E-007                 -6.7472240144922102E+000                 -8.6060838761011182E-001                  1.3784518874616819E-001                  7.8299941891817184E+000                  3.2169854471048082E+004                  1.6457114082308872E+000                  8.1967195954592139E+012 
                                      30                  1.1818815689988481E+006                  6.5857983029049690E-004                  5.2962561353811193E+000                  2.5058202579470303E+000                  3.2049426159842022E+002                  1.8024425620608363E-007                 -6.7441385659302995E+000                 -8.6045096240658314E-001                  1.3789516460653611E-001                  7.8363775813619956E+000                  3.2190195372103637E+004                  1.6449213640925799E+000                  8.1916303350415146E+012 
                                      35                  2.9483411457712124E+006                  6.5857983029049690E-004                  5.6921623656192430E+000                  2.5074777078183610E+000                  3.2171973908569078E+002                  1.8333067952061055E-007                 -6.7367648518321266E+000                 -8.6007900510015911E-001                  1.3801331735055128E-001                  7.8515209677098099E+000                  3.2238165365840781E+004                  1.6430505978026830E+000                  8.1796199608529590E+012 
                                      40                  7.3438578398454208E+006                  6.5857983029049690E-004                  6.0880685958573668E+000                  2.5110539190901262E+000                  3.2437988768073842E+002                  1.9017996273888584E-007                 -6.7208352420271069E+000                 -8.5926662274117871E-001                  1.3827172384363617E-001                  7.8847677515664394E+000                  3.2342552340774266E+004                  1.6389425241836426E+000                  8.1534380331703516E+012 
                                      45                  1.8281309940044157E+007                  6.5857983029049690E-004                  6.4839748260954915E+000                  2.5174329696548048E+000                  3.2917964281453504E+002                  2.0304998744801607E-007                 -6.6923970330208169E+000                 -8.5780561936739119E-001                  1.3873766491211437E-001                  7.9452613076609850E+000                  3.2528853426688849E+004                  1.6314819493861454E+000                  8.1065143664296504E+012 
                                      50                  4.5497190750010669E+007                  6.5857983029049690E-004                  6.8798810563336152E+000                  2.5245764031263724E+000                  3.3463888392036120E+002                  2.1851813163375436E-007                 -6.6605125214313867E+000                 -8.5615023051581174E-001                  1.3926749675120814E-001                  8.0149393997336684E+000                  3.2737584334246050E+004                  1.6229171071498711E+000                  8.0535508957812695E+012 
                                      55                  1.1321901128706655E+008                  6.5857983029049690E-004                  7.2757872865717390E+000                  2.5276976656401797E+000                  3.3705258761001681E+002                  2.2565473126172754E-007                 -6.6465555562749241E+000                 -8.5541427296519468E-001                  1.3950370021078526E-001                  8.0462916404421385E+000                  3.2829551668041800E+004                  1.6190694556314189E+000                  8.0300538255967383E+012 
