                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200813"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  1.0000000000000000E+003                  6.5837160119817527E-004                  3.0000000000000000E+000                  2.5297624559354075E+000                  3.3865887077928954E+002                  2.2542714808536131E-007                 -6.6469937832602302E+000                 -8.5976296704830368E-001                  1.3811378681522368E-001                  1.9662729859103616E+000                  3.2060356073857718E+004                  1.6486259878022524E+000                  8.2122969638648311E+012 
                                       5                  7.4415999999999985E+003                  6.5837160119817527E-004                  3.3167249841904991E+000                  2.5297677685510460E+000                  3.3866301353378515E+002                  2.2543938465127043E-007                 -6.6469702096628698E+000                 -8.5976180548089987E-001                  1.3811415621592760E-001                  1.9662836565364179E+000                  3.2060505335272239E+004                  1.6486202724867354E+000                  8.2122597090024463E+012 
                                      10                  2.5958682111999991E+004                  6.5837160119817527E-004                  3.7126312144286229E+000                  2.5297830289208481E+000                  3.3867491378543639E+002                  2.2547453779921335E-007                 -6.6469024946625384E+000                 -8.5975846872033856E-001                  1.3811521737525390E-001                  1.9663143097108584E+000                  3.2060934103984975E+004                  1.6486038540886663E+000                  8.2121526901915605E+012 
                                      15                  7.2035107872931811E+004                  6.5837160119817527E-004                  4.1085374446667471E+000                  2.5298209288728546E+000                  3.3870447051158476E+002                  2.2556186747373786E-007                 -6.6467343184542189E+000                 -8.5975018052019203E-001                  1.3811785323072942E-001                  1.9663904515326609E+000                  3.2061999091170932E+004                  1.6485630699750495E+000                  8.2118868713532637E+012 
                                      20                  1.8668799962237364E+005                  6.5837160119817527E-004                  4.5044436749048709E+000                  2.5299147873818701E+000                  3.3877767828508075E+002                  2.2577829089195308E-007                 -6.6463178188286163E+000                 -8.5972964772542260E-001                  1.3812438339100833E-001                  1.9665790952668853E+000                  3.2064637231354085E+004                  1.6484620188692001E+000                  8.2112283800309775E+012 
                                      25                  4.7198108322034468E+005                  6.5837160119817527E-004                  4.9003499051429946E+000                  2.5301455851254557E+000                  3.3895776324297128E+002                  2.2631140453742322E-007                 -6.6452935600405310E+000                 -8.5967911381855011E-001                  1.3814045628883054E-001                  1.9670434547542301E+000                  3.2071128772839274E+004                  1.6482132310984767E+000                  8.2096079621871270E+012 
                                      30                  1.1818815689988481E+006                  6.5837160119817527E-004                  5.2962561353811193E+000                  2.5307032347884952E+000                  3.3939327669367304E+002                  2.2760497635905544E-007                 -6.6428182467512578E+000                 -8.5955675649999241E-001                  1.3817938120678996E-001                  1.9681682901014588E+000                  3.2086839188271446E+004                  1.6476103282961261E+000                  8.2056857190989434E+012 
                                      35                  2.9483411457712124E+006                  6.5837160119817527E-004                  5.6921623656192430E+000                  2.5320143754884032E+000                  3.4041945766589151E+002                  2.3067214245713982E-007                 -6.6370048506789727E+000                 -8.5927233986366602E-001                  1.3826990362438063E-001                  1.9707859851842309E+000                  3.2123306220739472E+004                  1.6462064872784445E+000                  8.1965778315591738E+012 
                                      40                  7.3438578398454208E+006                  6.5837160119817527E-004                  6.0880685958573668E+000                  2.5347532986737269E+000                  3.4257313232433467E+002                  2.3721627423427239E-007                 -6.6248555194911960E+000                 -8.5867552064042540E-001                  1.3846004848686078E-001                  1.9762913816894860E+000                  3.2199628465529040E+004                  1.6432484650342443E+000                  8.1774970450039316E+012 
