                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200813"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  1.0000000000000000E+003                  6.5837160119817527E-004                  3.0000000000000000E+000                  2.5274916684396005E+000                  3.3689275268621901E+002                  2.2505885930782214E-007                 -6.6477038866456466E+000                 -8.5557644374939756E-001                  1.3945161757561214E-001                  2.2398690804420524E-001                  3.2090072428143289E+004                  1.6474850759305486E+000                  8.2048690848135029E+012 
                                       5                  7.4415999999999985E+003                  6.5837160119817527E-004                  3.3167249841904991E+000                  2.5274970759715183E+000                  3.3689694746586912E+002                  2.2507129260554811E-007                 -6.6476798948620583E+000                 -8.5557526292143948E-001                  1.3945199673905895E-001                  2.2398799547770110E-001                  3.2090223018994599E+004                  1.6474792891069303E+000                  8.2048314823131172E+012 
                                      10                  2.5958682111999991E+004                  6.5837160119817527E-004                  3.7126312144286229E+000                  2.5275126089073452E+000                  3.3690899710606925E+002                  2.2510701081359758E-007                 -6.6476109789655169E+000                 -8.5557187084482211E-001                  1.3945308593941588E-001                  2.2399111925940507E-001                  3.2090655604679618E+004                  1.6474626653572191E+000                  8.2047234652956465E+012 
                                      15                  7.2035107872931811E+004                  6.5837160119817527E-004                  4.1085374446667471E+000                  2.5275511851916530E+000                  3.3693892443656478E+002                  2.2519574333424415E-007                 -6.6474398228079048E+000                 -8.5556344533463236E-001                  1.3945579141886136E-001                  2.2399887855786749E-001                  3.2091730060135989E+004                  1.6474213715915196E+000                  8.2044551698273857E+012 
                                      20                  1.8668799962237364E+005                  6.5837160119817527E-004                  4.5044436749048709E+000                  2.5276467149992614E+000                  3.3701304753119558E+002                  2.2541563785199634E-007                 -6.6470159587546283E+000                 -8.5554257292321001E-001                  1.3946249389545931E-001                  2.2401810180301354E-001                  3.2094391578641229E+004                  1.6473190604898031E+000                  8.2037905603566602E+012 
                                      25                  4.7198108322034468E+005                  6.5837160119817527E-004                  4.9003499051429946E+000                  2.5278816004075866E+000                  3.3719536819351390E+002                  2.2595726826876391E-007                 -6.6459736843471688E+000                 -8.5549120653613042E-001                  1.3947898986398724E-001                  2.2406541711527855E-001                  3.2100940180460540E+004                  1.6470671875983696E+000                  8.2021551910617705E+012 
                                      30                  1.1818815689988481E+006                  6.5837160119817527E-004                  5.2962561353811193E+000                  2.5284556522933586E+000                  3.3764136884655642E+002                  2.2728524398485206E-007                 -6.6434287590131582E+000                 -8.5536684764067028E-001                  1.3951893496457685E-001                  2.2418002942250631E-001                  3.2116783569632844E+004                  1.6464570001732473E+000                  8.1981979629629395E+012 
                                      35                  2.9483411457712124E+006                  6.5837160119817527E-004                  5.6921623656192430E+000                  2.5297974560750971E+000                  3.3868616466838296E+002                  2.3041772084596262E-007                 -6.6374841234707604E+000                 -8.5507813743294792E-001                  1.3961171517290671E-001                  2.2444639456086568E-001                  3.2153515011925363E+004                  1.6450378762720461E+000                  8.1890194524511709E+012 
                                      40                  7.3438578398454208E+006                  6.5837160119817527E-004                  6.0880685958573668E+000                  2.5325783561295494E+000                  3.4086181810647338E+002                  2.3705523358044100E-007                 -6.6251504521146263E+000                 -8.5447310186378489E-001                  1.3980635020503565E-001                  2.2500569892633326E-001                  3.2230292874131595E+004                  1.6420513419868432E+000                  8.1698132457050908E+012 
                                      45                  1.8281309940044157E+007                  6.5837160119817527E-004                  6.4839748260954915E+000                  2.5371131539576619E+000                  3.4443966166159538E+002                  2.4829474079374626E-007                 -6.6050324792712285E+000                 -8.5348371109831167E-001                  1.4012521401330066E-001                  2.2592372193916294E-001                  3.2355210515607650E+004                  1.6371333881310344E+000                  8.1384920460557305E+012 
                                      50                  4.5497190750010669E+007                  6.5837160119817527E-004                  6.8798810563336152E+000                  2.5413180459069502E+000                  3.4779076503856720E+002                  2.5920060695590121E-007                 -6.5863639858365906E+000                 -8.5255924827956842E-001                  1.4042380984431599E-001                  2.2678530318495740E-001                  3.2471198786423276E+004                  1.6325006518552521E+000                  8.1093105896094072E+012 
                                      55                  1.1321901128706655E+008                  6.5837160119817527E-004                  7.2757872865717390E+000                  2.5426602854104874E+000                  3.4886731711667551E+002                  2.6278195107807702E-007                 -6.5804044671806761E+000                 -8.5226396795868675E-001                  1.4051931758972747E-001                  2.2706129456034096E-001                  3.2508088953401992E+004                  1.6310135436633544E+000                  8.1000061001929814E+012 
                                      60                  2.8173257176583338E+008                  6.5837160119817527E-004                  7.6716935168098637E+000                  2.5427366383518795E+000                  3.4892865657315656E+002                  2.6298723505546502E-007                 -6.5800653309000250E+000                 -8.5224710570114415E-001                  1.4052477360867718E-001                  2.2707706609821746E-001                  3.2510193390172139E+004                  1.6309285081833254E+000                  8.0994749484969287E+012 
                                      65                  7.0104823457635832E+008                  6.5837160119817527E-004                  8.0675997470479874E+000                  2.5427369775048589E+000                  3.4892892906162865E+002                  2.6298814728566366E-007                 -6.5800638244548386E+000                 -8.5224703078451047E-001                  1.4052479784947308E-001                  2.2707713617148351E-001                  3.2510202739318516E+004                  1.6309281303561951E+000                  8.0994725887123242E+012 
                                      70                  1.7444397846610439E+009                  6.5837160119817527E-004                  8.4635059772861112E+000                  2.5427369775546640E+000                  3.4892892910164380E+002                  2.6298814741967582E-007                 -6.5800638242335330E+000                 -8.5224703077346775E-001                  1.4052479785304617E-001                  2.2707713618180936E-001                  3.2510202740722700E+004                  1.6309281302996532E+000                  8.0994725883597715E+012 
                                      75                  4.3407318465677681E+009                  6.5837160119817527E-004                  8.8594122075242350E+000                  2.5427369775547155E+000                  3.4892892910168530E+002                  2.6298814741987736E-007                 -6.5800638242331999E+000                 -8.5224703077340447E-001                  1.4052479785306662E-001                  2.2707713618186987E-001                  3.2510202740692672E+004                  1.6309281303003438E+000                  8.0994725883626201E+012 
                                      80                  1.0801137310051506E+010                  6.5837160119817527E-004                  9.2553184377623587E+000                  2.5427369775549269E+000                  3.4892892910185515E+002                  2.6298814741991267E-007                 -6.5800638242331422E+000                 -8.5224703077379804E-001                  1.4052479785293931E-001                  2.2707713618150593E-001                  3.2510202740633824E+004                  1.6309281303030843E+000                  8.0994725883807773E+012 
                                      85                  2.6876693432947353E+010                  6.5837160119817527E-004                  9.6512246680004825E+000                  2.5427369775548323E+000                  3.4892892910177920E+002                  2.6298814741990261E-007                 -6.5800638242331582E+000                 -8.5224703077361741E-001                  1.4052479785299773E-001                  2.2707713618167363E-001                  3.2510202740672921E+004                  1.6309281303014274E+000                  8.0994725883702461E+012 
