                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200805"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  1.0000000000000000E+003                  6.5837160119817527E-004                  3.0000000000000000E+000                  2.5238165521805751E+000                  3.3405390444302355E+002                  2.1684828387329682E-007                 -6.6638440104868888E+000                 -8.5629627315196755E-001                  1.3922067236399246E-001                  8.0111769246314015E+000                  3.2704645513914242E+004                  1.6229771695079984E+000                  8.0502301672889932E+012 
                                       5                  7.4415999999999985E+003                  6.5837160119817527E-004                  3.3167249841904991E+000                  2.5238238129968456E+000                  3.3405948941912015E+002                  2.1686446758539432E-007                 -6.6638115996488843E+000                 -8.5629458936550651E-001                  1.3922121213216226E-001                  8.0112483725340571E+000                  3.2704856627976507E+004                  1.6229684267637232E+000                  8.0501764514631406E+012 
                                      10                  2.5958682111999991E+004                  6.5837160119817527E-004                  3.7126312144286229E+000                  2.5238446701981561E+000                  3.3407553317197295E+002                  2.1691096355981371E-007                 -6.6637184964265783E+000                 -8.5628975215697445E-001                  1.3922276279838916E-001                  8.0114536212355034E+000                  3.2705463105792958E+004                  1.6229433097174810E+000                  8.0500221364147891E+012 
                                      15                  7.2035107872931811E+004                  6.5837160119817527E-004                  4.1085374446667471E+000                  2.5238964728544131E+000                  3.3411538408627428E+002                  2.1702649094165042E-007                 -6.6634872515542805E+000                 -8.5627773503333926E-001                  1.3922661520814897E-001                  8.0119635587194775E+000                  3.2706969691550825E+004                  1.6228809064954048E+000                  8.0496387748681416E+012 
                                      20                  1.8668799962237364E+005                  6.5837160119817527E-004                  4.5044436749048709E+000                  2.5240247777279512E+000                  3.3421410734184047E+002                  2.1731291295279089E-007                 -6.6629144666959421E+000                 -8.5624795235124673E-001                  1.3923616330137750E-001                  8.0132275864752316E+000                  3.2710702972549545E+004                  1.6227262203094117E+000                  8.0486886987488096E+012 
                                      25                  4.7198108322034468E+005                  6.5837160119817527E-004                  4.9003499051429946E+000                  2.5243403813633774E+000                  3.3445707041656465E+002                  2.1801917559087236E-007                 -6.6615053069134698E+000                 -8.5617457973086286E-001                  1.3925968877917660E-001                  8.0163429976435570E+000                  3.2719896806402761E+004                  1.6223449591547685E+000                  8.0463482672702236E+012 
                                      30                  1.1818815689988481E+006                  6.5837160119817527E-004                  5.2962561353811193E+000                  2.5251035667406834E+000                  3.3504532830444538E+002                  2.1973722184695117E-007                 -6.6580963706010001E+000                 -8.5599648232923964E-001                  1.3931680871936683E-001                  8.0239130437028994E+000                  3.2742192358473894E+004                  1.6214184759228503E+000                  8.0406683454450596E+012 
                                      35                  2.9483411457712124E+006                  6.5837160119817527E-004                  5.6921623656192430E+000                  2.5268732329388839E+000                  3.3641335869307164E+002                  2.2377708528805078E-007                 -6.6501843871663100E+000                 -8.5557982300829605E-001                  1.3945053250245126E-001                  8.0416675918524447E+000                  3.2794237627170536E+004                  1.6192451005445376E+000                  8.0273852984362480E+012 
                                      40                  7.3438578398454208E+006                  6.5837160119817527E-004                  6.0880685958573668E+000                  2.5306427154623186E+000                  3.3934598523082178E+002                  2.3263308469138776E-007                 -6.6333285205743593E+000                 -8.5469085475919082E-001                  1.3973626963054095E-001                  8.0798377441382740E+000                  3.2904695818289365E+004                  1.6145811457278536E+000                  7.9990726436615195E+012 
