                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20200715"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            model_number                                 star_age                                star_mass                                   log_dt                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                   radius                    surface_optical_depth                                 center_T                               center_Rho                                 center_P 
                                       1                  1.0000000000000000E+003                  6.5857983074009397E-004                  3.0000000000000000E+000                  3.1495578853761712E+000                  1.4111003038455733E+003                  1.7656178883768024E-007                 -6.7531032797648534E+000                 -8.6260935024473073E-001                  1.3721154349745324E-001                  7.5201792288988258E+000                  3.1930688229235413E+004                  1.6552748592698276E+000                  8.2602156247187334E+012 
                                       5                  7.4415999999999985E+003                  6.5857983074009397E-004                  3.3167249841904991E+000                  3.1494326608486207E+000                  1.4106934856537566E+003                  1.7726452223684725E-007                 -6.7513781755018716E+000                 -8.6262187511606792E-001                  1.3720758643094905E-001                  7.4179239221380415E+000                  3.1930816326853528E+004                  1.6552700321614713E+000                  8.2601836863497598E+012 
                                      10                  2.5958682111999991E+004                  6.5857983074009397E-004                  3.7126312144286229E+000                  3.1494324542222252E+000                  1.4106928144814237E+003                  1.7728988583020336E-007                 -6.7513160396580973E+000                 -8.6261908821400501E-001                  1.3720846690571559E-001                  7.4178246359870084E+000                  3.1931183557082117E+004                  1.6552561886098929E+000                  8.2600920820052754E+012 
                                      15                  7.2035107872931811E+004                  6.5857983074009397E-004                  4.1085374446667471E+000                  3.1494325513701185E+000                  1.4106931300411563E+003                  1.7734762229522477E-007                 -6.7511746297518673E+000                 -8.6261209896647228E-001                  1.3721067506560577E-001                  7.4180736087402064E+000                  3.1932096060733762E+004                  1.6552217871176760E+000                  8.2598644601064072E+012 
                                      20                  1.8668799962237364E+005                  6.5857983074009397E-004                  4.5044436749048709E+000                  3.1494327925778660E+000                  1.4106939135422613E+003                  1.7749083287701697E-007                 -6.7508240726581086E+000                 -8.6259476692813308E-001                  1.3721615104615473E-001                  7.4186912643669851E+000                  3.1934358756499092E+004                  1.6551364669118152E+000                  8.2593000305449453E+012 
                                      25                  4.7198108322034468E+005                  6.5857983074009397E-004                  4.9003499051429946E+000                  3.1494333880828371E+000                  1.4106958478883080E+003                  1.7784439000173078E-007                 -6.7499598298300061E+000                 -8.6255200516368968E-001                  1.3722966237050416E-001                  7.4202155141864576E+000                  3.1939940440383325E+004                  1.6549258970822436E+000                  8.2579076455254922E+012 
                                      30                  1.1818815689988481E+006                  6.5857983074009397E-004                  5.2962561353811193E+000                  3.1494348412015349E+000                  1.4107005679849908E+003                  1.7870706456278580E-007                 -6.7478582788318437E+000                 -8.6244783015629156E-001                  1.3726258384756054E-001                  7.4239310327227219E+000                  3.1953533240916546E+004                  1.6544125142271904E+000                  8.2545166250424287E+012 
                                      35                  2.9483411457712124E+006                  6.5857983074009397E-004                  5.6921623656192430E+000                  3.1494382927187146E+000                  1.4107117794481724E+003                  1.8075585352619360E-007                 -6.7429076297846731E+000                 -8.6220188494641348E-001                  1.3734033900506701E-001                  7.4327154486739033E+000                  3.1985593874272163E+004                  1.6531982918154537E+000                  8.2465170293604365E+012 
                                      40                  7.3438578398454208E+006                  6.5857983074009397E-004                  6.0880685958573668E+000                  3.1494460591365221E+000                  1.4107370072037756E+003                  1.8535335181387733E-007                 -6.7319995560541122E+000                 -8.6166555401834144E-001                  1.3751005189878579E-001                  7.4519521046632615E+000                  3.2055337987416377E+004                  1.6505406736896984E+000                  8.2291063347380303E+012 
                                      45                  1.8281309940044157E+007                  6.5857983074009397E-004                  6.4839748260954915E+000                  3.1494604122787138E+000                  1.4107836318888844E+003                  1.9381255987736446E-007                 -6.7126180822455961E+000                 -8.6070092549690125E-001                  1.3781582032426087E-001                  7.4868112623272198E+000                  3.2180243661489949E+004                  1.6457252852393989E+000                  8.1978839282115410E+012 
                                      50                  4.5497190750010669E+007                  6.5857983074009397E-004                  6.8798810563336152E+000                  3.1494778975922300E+000                  1.4108404331878321E+003                  2.0393060289999280E-007                 -6.6905175968147326E+000                 -8.5959316554312604E-001                  1.3816779743499411E-001                  7.5274497960106892E+000                  3.2322764760691243E+004                  1.6401425444605673E+000                  8.1621656407050410E+012 
                                      55                  1.1321901128706655E+008                  6.5857983074009397E-004                  7.2757872865717390E+000                  3.1494867307854220E+000                  1.4108691288157195E+003                  2.0878163311726077E-007                 -6.6803077096289343E+000                 -8.5907975482130761E-001                  1.3833123210400383E-001                  7.5467859657936431E+000                  3.2388462204358086E+004                  1.6375369740917374E+000                  8.1456573545451621E+012 
                                      60                  2.8173257176583338E+008                  6.5857983074009397E-004                  7.6716935168098637E+000                  3.1494877588266874E+000                  1.4108724685620475E+003                  2.0927910777085837E-007                 -6.6792741248993028E+000                 -8.5902724583218759E-001                  1.3834795824857121E-001                  7.5488674418482304E+000                  3.2395167727247866E+004                  1.6372698760906081E+000                  8.1439706238676680E+012 
                                      65                  7.0104823457635832E+008                  6.5857983074009397E-004                  8.0675997470479874E+000                  3.1494877741014444E+000                  1.4108725181844470E+003                  2.0928429873690223E-007                 -6.6792633527779293E+000                 -8.5902669239717444E-001                  1.3834813454980474E-001                  7.5488930565365617E+000                  3.2395238332312882E+004                  1.6372670625657022E+000                  8.1439528617810732E+012 
                                      70                  1.7444397846610439E+009                  6.5857983074009397E-004                  8.4635059772861112E+000                  3.1494877741252085E+000                  1.4108725182616486E+003                  2.0928430119542984E-007                 -6.6792633476761374E+000                 -8.5902669211345695E-001                  1.3834813464018533E-001                  7.5488930828647227E+000                  3.2395238368352711E+004                  1.6372670611298397E+000                  8.1439528527171611E+012 
                                      75                  4.3407318465677681E+009                  6.5857983074009397E-004                  8.8594122075242350E+000                  3.1494877741252205E+000                  1.4108725182616872E+003                  2.0928430119535141E-007                 -6.6792633476762999E+000                 -8.5902669211349858E-001                  1.3834813464017207E-001                  7.5488930828732244E+000                  3.2395238368350983E+004                  1.6372670611299391E+000                  8.1439528527178555E+012 
                                      80                  1.0801137310051506E+010                  6.5857983074009397E-004                  9.2553184377623587E+000                  3.1494877741252201E+000                  1.4108725182616861E+003                  2.0928430119526382E-007                 -6.6792633476764820E+000                 -8.5902669211332428E-001                  1.3834813464022758E-001                  7.5488930828792364E+000                  3.2395238368414113E+004                  1.6372670611277886E+000                  8.1439528527052988E+012 
                                      85                  2.6876693432947353E+010                  6.5857983074009397E-004                  9.6512246680004825E+000                  3.1494877741252210E+000                  1.4108725182616886E+003                  2.0928430119537251E-007                 -6.6792633476762564E+000                 -8.5902669211360816E-001                  1.3834813464013715E-001                  7.5488930828694407E+000                  3.2395238368316859E+004                  1.6372670611311959E+000                  8.1439528527255234E+012 
                                      89                  5.0000000000000000E+010                  6.5857983074009397E-004                  9.5510924249720368E+000                  3.1494877741252205E+000                  1.4108725182616872E+003                  2.0928430119536274E-007                 -6.6792633476762768E+000                 -8.5902669211336435E-001                  1.3834813464021481E-001                  7.5488930828779530E+000                  3.2395238368397884E+004                  1.6372670611284732E+000                  8.1439528527096973E+012 
